name,team,position,age,height,weight,bmi,spike_height,block_height,total_selections,is_captain,score_rank,attacks,blocks,serves,total_score,digs_per_set,sets_per_set,attack_success_rate
Sohwi Kang,KOR,Outside Hitter,22,180,65,20.1,286,276,45,0,32,110,9,14,133,1.83,0.08,32.35
Sooji Han,KOR,Middle Blocker,30,182,72,21.7,285,275,69,0,235,2,0,0,2,0.02,0.02,
Stefana Veljkovic,SRB,Middle Blocker,29,190,76,21.1,325,310,197,0,207,4,2,1,7,0.02,0,
Su Ji Kim,KOR,Middle Blocker,32,188,68,19.2,283,268,95,0,172,12,2,4,18,0.09,0,
Supattra Pairoj,THA,Libero,29,160,58,22.7,275,265,3,0,,,,,21,1.18,0.06,
Sylvia Chinelo Nwakalor,ITA,Opposite Spiker,20,179,75,23.4,330,312,56,0,239,0,1,0,1,1,0,
Tainara Lemes Santos,BRA,Outside Hitter,19,190,81,22.4,306,289,5,0,126,38,4,3,45,0.32,0,
Tatiana Ezhak,RUS,Outside Hitter,23,195,69,18.1,305,275,5,0,23,135,5,15,155,1.54,0.06,36.39
Tatiana Romanova,RUS,Setter,25,178,64,20.2,292,285,9,0,157,3,14,9,26,0.98,4.04,
Teodora Pusic,SRB,Libero,26,170,58,20.1,270,260,81,0,,,,,21,1.4,0.04,
Tessa Polder,NED,Middle Blocker,22,189,76,21.3,301,293,79,0,198,7,1,3,11,0.04,0,
Tetori Dixon,USA,Middle Blocker,27,191,83,22.8,306,295,170,0,117,30,18,3,51,0.14,0,
Tichakorn Boonlert,THA,Middle Blocker,18,180,78,24.1,294,283,2,0,159,16,7,2,25,0.1,0.04,
Tijana Boškovic,SRB,Opposite Spiker,22,193,82,22,315,300,112,0,133,35,1,3,39,0.23,0,
Tikamporn Changkeaw,THA,Libero,35,168,62,22,260,252,1,0,,,,,21,0.16,0.04,
Ting Zhu,CHN,Outside Hitter,25,198,78,19.9,327,300,94,0,48,106,9,4,119,0.8,0,
Valeriya Zaytseva,RUS,Middle Blocker,24,187,71,20.3,307,297,0,0,202,6,1,2,9,0.07,0,
Victoriia Russu,RUS,Outside Hitter,20,193,70,18.8,311,305,7,0,231,2,0,1,3,0.11,0,
Wanitchaya Luangtonglang,THA,Outside Hitter,27,177,60,19.2,300,275,10,0,204,8,0,0,8,0.04,0,
Watchareeya Nuanjam,THA,Middle Blocker,23,178,70,22.1,292,279,2,0,180,12,1,2,15,0.14,0.02,
Wilavan Apinyapong,THA,Libero,35,173,68,22.7,294,282,60,0,144,24,1,7,32,0.42,0.04,
Wipawee Srithong,THA,Outside Hitter,20,174,65,21.5,288,266,1,0,222,3,0,1,4,0.02,0,
Xia Ding,CHN,Setter,29,180,67,20.7,305,300,78,0,163,4,4,13,21,0.78,2.2,
Xiangyu Gong,CHN,Opposite Spiker,22,186,72,20.8,313,302,35,0,22,128,18,11,157,1.68,0.05,43.24
Xiaotong Liu,CHN,Outside Hitter,29,188,80,22.6,312,300,102,1,92,57,2,9,68,0.57,0,
Xinyue Yuan,CHN,Middle Blocker,23,201,78,19.3,317,311,82,0,47,79,31,9,119,0.23,0,
Yan Sun,CHN,Setter,18,188,68,19.2,308,295,0,0,,,,,15,0.03,0.03,
Yaneirys Rodriguez Duran,DOM,Libero,19,171,56,19.2,280,251,18,0,,,,,21,0.28,0.02,
Yanhan Liu,CHN,Outside Hitter,26,188,75,21.2,315,305,30,0,38,115,7,7,129,1.02,0.02,
Yasemin Guveli,TUR,Middle Blocker,20,188,72,20.4,306,298,0,0,205,5,3,0,8,0.09,0,
Yeon Koung Kim,KOR,Outside Hitter,31,192,73,19.8,310,300,263,1,28,124,8,12,144,1.77,0.08,42.91
Yeongyeon Kim,KOR,Libero,26,163,52,19.6,267,252,37,0,,,,,21,1.32,0.06,
Yingying Li,CHN,Outside Hitter,19,192,71,19.3,302,294,12,0,74,62,6,17,85,0.69,0.02,
Yixin Zheng,CHN,Middle Blocker,24,187,71,20.3,316,307,47,0,142,25,6,2,33,0.14,0,
Yokaty Perez Flores,DOM,Setter,21,178,79,24.9,291,257,72,0,,,,,15,0.09,0.17,
Yonkaira Paola Peña Isabel,DOM,Outside Hitter,26,190,70,19.4,320,310,162,0,94,59,2,5,66,0.67,0.02,
Yuanyuan Wang,CHN,Middle Blocker,22,195,75,19.7,312,300,0,0,151,15,12,0,27,0.08,0.03,
Yuki Ishii,JPN,Outside Hitter,28,180,67,20.7,305,287,224,0,13,177,8,8,193,2.33,0.04,34.04
Yurie Nabeya,JPN,Outside Hitter,26,176,57,18.4,305,292,146,0,71,79,2,8,89,1.59,0.06,
Yvon Belien,NED,Middle Blocker,26,188,73,20.7,307,303,257,0,182,7,3,4,14,0.04,0,
Zehra Gunes,TUR,Middle Blocker,20,198,88,22.4,319,310,95,0,21,98,35,25,158,0.5,0.01,
Zhana Todorova,BUL,Libero,22,170,56,19.4,271,255,0,0,,,,,21,3.48,0.37,
Zuzanna Efimienko-Mlotkowska,POL,Middle Blocker,30,197,72,18.6,318,303,117,0,123,29,12,6,47,0.18,0.03,
Zuzanna Gorecka,POL,Outside Hitter,19,181,63,19.2,301,284,6,0,240,1,0,0,1,0.03,0.03,
